4-Aminobutansäure	 gamma-aminobutyric acid (GABA) 
melancholisch	 melancholic
meliert	 mottled
melodiös	 melodious
melodramatisch	 melodramatic
membranständig	 membrane-bound
mengenmäßig	 quantitative
mengenmäßig	 quantitatively
menschengestaltig	 anthropomorphic.
menschenunwürdig	 inhumane, degrading
menschenwürdig	 humane
menschlich	 human, manlike
menschlich	 humane, kind
menstruieren	 to menstruate
merkantil	 mercantile
merken	 to realize
merklich	 appreciable, noticeable
merklich	 distinct
merkt	 ''3rd person singular present form of'' merken: he, she, it notices, notes, perceives, feels, remembers
merkt	 ''2nd person plural present form of'' merken: you notice, note, perceive, feel, remember
merkt	 ''imperatve plural form of'' merken: note!, remember!
merkwürdig	 odd (strange) (literally: worthy to remember)
messbar	 measurable
metabolisch	 metabolic
metabolisiert	 metabolized
metallartig	 metalloid
metallhaltig	 metalliferous
metallisch	 metallic
metallurgisch	 metallurgical
metamorph	 metamorphic
metamorph	 metamorphous
metaphorisch	 metaphorical
metastabil	 metastable
meteoritisch	 meteoritic
meteorologisch	 meteorological, meteorologic
metrisch	 metric (relating to metric system)
metrosexuell	 metrosexual
meucheln	 to assassin, assassinate
meutern	 to mutiny
mexikanisch	 Mexican
mfrz.	 mittelfranzösisch &equiv; Middle French (language)
mhd.	 mittelhochdeutsch &equiv; Middle High German (language)
miau	 meow (cry of a cat)
miauen	 to meow
mich	 accusative of ich: me.
mickrig	 puny
mies	 appalling|Appalling, poor.
migrieren	 to migrate
mikrobiell	 microbial
mikrobiologisch	 microbiological
mikrokristallin	 microcrystalline
mikromechanisch	 micromechanical
mikrominiaturisieren	 to microminiaturize
mikronesisch	 Micronesian (Of, from, or pertaining to Micronesia or the Micronesian people)
mikroskopisch	 microscopic
mikrosomal	 microsomal
mikrowellengeeignet	 microwave safe
mikroökonomisch	 microeconomic
milchig	 milky
mildern	 to mitigate
mildernd	 mitigating, alleviating, extenuating
militärisch	 military
minder	 less, lower
minderjährig	 underage
minderwertig	 shoddy, inferior
mindestens	 at least (at a lower limit)
mineralisch	 mineral
mineralisieren	 to mineralize
minimalistisch	 minimalist
minimieren	 to minimize / minimise
ministeriell	 ministerial
ministeriell	 ministerial
minutenlang	 lasting for minutes, minuteslong
mir nichts, dir nichts	 suddenly, without warning
mischbar	 miscible
mischen	 to mix
miss	 second-person singular imperative form of '''messen'''
missachten	 to ignore (to deliberately pay no attention to)
missbrauchen	 to abuse (to use improperly)
missbräuchlich	 improper, wrongful
missbräuchlicherweise	 improperly, wrongfully
misshandeln	 to mistreat, to abuse
misslich	 awkward (perverse; adverse; untoward)
missourisch	 Missourian
misstrauen	 to suspect (distrust, have doubts about)
misstrauisch	 distrustful, suspicious
missverstehen	 to misunderstand, to misapprehend
missverständlich	 misleading
mit	 with.
mit Geduld und Zeit kommt man weit	 good things come to those who wait; patience is a virtue; one will get that for which one hopes, if one waits
mit Fug und Recht	 justifiably, rightly
mit offenen Karten spielen	 to play with the cards on the table
mit Abstand	 by far (literally: with distance)
miteinander	 together (with)
mitfahren	 to drive with
mitfühlen	 to empathize, to empathise, to sympathize, to sympathise
mitfühlend	 sympathetic
mitgeführt	 entrained (carried along)
mithilfe	 by means of, with
mithin	 therefore, consequently
mitkommen	 to come with, to join and come along with (another person)
mitkommen	 to understand (something)
mitnehmen	 to carry along
mitnehmen	 to pick up
mitnehmen	 to take away
mitotisch	 mitotic
mitschwingen	 to resonate
mitspielen	 To cooperate
mitspielen	 To play along
mitspielen	 To feature (in a film)
mittags	 at midday
mitteilen	 to inform, to tell, to communicate
mittel	 middle
mittel	 average
mittelalterlich	 medieval
mittelatlantisch	 Mid-Atlantic|mid-Atlantic (attributive)
mitteldeutsch	 central German; from or pertaining to any area that is currently or was historically central Germany, or from or pertaining to the people, culture or dialects of this area
mittelenglisch	 Middle English (related to the Middle English language)
mitteleuropäisch	 Central European
mittelfranzösisch	 Middle French (related to the Middle French language)
mittelfristig	 medium-term
mittelirisch	 Middle Irish (related to the Middle Irish language)
mittellateinisch	 Medieval Latin (related to the Medieval Latin language)
mittellos	 without means, penniless
mittelmäßig	 mediocre
mittelneolithischen	 Inflected form of mittelneolithisch
mittelniederdeutsch	 Middle Low German (related to the Middle Low German language)
mittelniederländisch	 Middle Dutch (related to the Middle Dutch language)
mittelnorwegisch	 Middle Norwegian (related to the Middle Norwegian language)
mittelozeanisch	 mid-oceanic
mittelpersisch	 Middle Persian (related to the Middle Persian language)
mittels	 by (indicates a means)
mittelstark	 moderate (of medium strength)
mitten	 In the middle.
mitternachts	 at midnight
mitternachtsblau	 midnight blue
mittig	 central
mittig	 centred
mittig	 concentric
mittlerweile	 meanwhile
mitunter	 now and then, occasionally
mitwirken	 to participate, to cooperate
mixen	 to mix (to stir two or more substances together)
mixen	 to mix (music: to combine several tracks)
miß	 The pre-w:German spelling reform of 1996|1996 German spelling reform spelling of '''missGerman|miss'''.
mnemotechnisch	 mnemotechnic
mnl.	 mittelniederländisch &equiv; Middle Dutch (language)
mobben	 to bully
mobil	 mobile
mobilisieren	 to mobilize
moderat	 moderate
modern	 to rot, to molder
modisch	 fashionable
mogeln	 to cheat
molekular	 molecular (relating to molecules)
momentan	 current
momentan	 instantaneous
momentan	 momentary
momentan	 present
momentan	 at the moment
momentan	 currently
momentan	 for the time being
momentan	 just now
momentan	 momentarily
momentan	 presently
monatelang	 lasting for months, months of
monatelang	 for months
monatlich	 monthly
mondsüchtig	 moonstruck
mondän	 fashionable, glamorous, sophisticated
monetär	 monetary
mongolisch	 Mongolian (of or relating to Mongolia or its peoples, languages, or cultures)
monochrom	 monochrome (having only one colour)
monogam	 monogamous
monogrammieren	 to monogram ((transitive) to mark something with a monogram)
monoklin	 monoclinic
monokristallin	 monocrystalline
monokristallin	 single crystal (attributive)
monomer	 monomeric
monopolistisch	 monopolistic
monotheistisch	 monotheistic
monoton	 monotonous (having an unvarying tone or pitch)
montieren	 to mount, to set up
moppen	 to mop
moralisch	 moral
mordsmäßig	 extremely sudden or large
mordwinisch	 Mordvin (related to the Mordvins or to the Mordvin language)
morgen	 tomorrow
morgenländisch	 oriental
morgens	 in the morning, a.m.
morgn	  used for a friendly "good morning".
morphemisch	 morphemic
mosambikanisch	 Mozambican (of, from, or pertaining to Mozambique, the Mozambican people or the Mozambican language)
motivieren	 to motivate (to encourage)
motorisch	 motor (attributive)
motorisch	 motorized
mozarabisch	 Mozarabic (related to the Mozarabs or to the Mozarabic language)
muhen	 to moo (sound of a cow)
mulchen	 to mulch
multikulturell	 multicultural
munkeln	 to rumour/rumor
munkeln	 to whisper, to mutter
munter	 merry, awake.
murmeln	 to mumble, to murmur
murren	 to grumble
musikalisch	 musical
muskulär	 muscular (of or relating to muscles)
muskulös	 muscular (having strength or well-developed muscles)
mustern	 to scrutinize
mutabel	 mutable
mutieren	 to mutate
mutig	 courageous
mutmaßen	 to guess, to speculate
mutmaßlich	 alleged
mutmaßlich	 suspected
mutmaßlich	 presumed
mutterseelenallein	 utterly alone, all alone
mysteriös	 mysterious
mythologisch	 mythological
mächtig	 powerful
mäh	 baa (cry of sheep)
mähen	 to mow
männlich	 male
männlich	 manly
märchenhaft	 fabulous
mästen	 to fatten
mäße	 first-person singular subjunctive imperfect form of '''messenGerman|messen'''
mäße	 third-person singular subjunctive imperfect form of '''messenGerman|messen'''
mäßig	 moderate, modest
möblieren	 to furnish
möbliert	 furnished
mögend	 Present participle of ''mögen''.
möglich	 possible
möglich	 potential
möglich	 likely
möglicherweise	 possibly, potentially
möglicherweise	 perhaps
möglicherweise	 conceivably
möglichst	 preferably
mönchisch	 monkish
mörderisch	 murderous
müde	 tired
mühelos	 effortless
mühevoll	 painstaking, arduous
mühsam	 arduous
mühselig	 laborious
münden	 to flow (into something)
münden	 to lead (into something)
mündig	 of age
mündig	 mature
mürbe	 worn-out, fatigued, exhausted
mürrisch	 grumpy
mütterlich	 motherly
mütterlich	 maternal
mütterlicherseits	 maternally, from the mother's side, on the mother's side
müßig	 idle
na	 well!
na klar	 sure, sure thing, of course
nach	 towards, to
nach	 according to
nach	 by the authority of
nach	 according to
nach	 after, behind, nigh, next to.
nach Hause	 home, homeward (mobile, goal-oriented)
nach und nach	 little by little, bit by bit
nach Christus	 anno Domini, AD
nach wie vor	 still
nachahmen	 to copy, imitate, emulate (a person)
nachdem	 after
nachdenken	 to think, to reflect
nachdenklich	 pensive
nachdrucken	 to reprint
nachdrücklich	 emphatic, insistent
nacheinander	 successively
nacheinander	 consecutively
nachfolgen	 to follow after, to succeed
nachfolgend	 successive, following, subsequent
nachgeben	 to give way
nachgehen	 to follow
nachgehen	 to pursue
nachgeliefert	 resupplied
nachgeraten	 to take after (a parent or ancestor)
nachgewiesen	 proven, ascertained, attested
nachhaltig	 sustainable
nachher	 afterwards, later
nachkommen	 to comply (with), to meet, to satisfy (obligations, the law, requirements, etc)
nachkommen	 to keep up (with)
nachkommen	 to come later
nachladen	 to reload
nachlässig	 negligent, careless
nachmittags	 in the afternoons, p.m.
nachmittelalterlich	 postmedieval
nachrechnen	 to recalculate, to check one's calculations
nachschlagen	 to look up
nachsichtig	 forgiving, clement
nachtblind	 night-blind
nachts	 at night
nachtschwarz	 as black as the night
nachvollziehbar	 traceable
nachvollziehen	 to understand, to comprehend
nachvollziehen	 to retrace, to reconstruct
nachweisbar	 detectable, measurable
nachweisbar	 verifiable, provable
nachweisen	 To prove, substantiate, verify, establish, demonstrate
nachweislich	 demonstrable, verifiable
nachwürzen	 to add more spices to (something which one has already added spices to)
nachäffen	 to ape, to mimic
nackt	 naked, nude (not wearing any clothes)
nackt	 bare (not insulated, protected etc.)
nadelförmig	 needlelike, spicular
nagelfest	 Only used in the idiom niet- und nagelfest
nagen	 to gnaw
nah	 near (in space or time or in an abstract sense)
nah	 near (in space or time or in an abstract sense)
nahe	 nearby, nigh
nahe	 near
nahekommen	 To approach or come close
nahekommen	 To approximate
nahen	 to approach
nahezu	 almost, nearly, virtually
nahezu	 approximately
nahm	 Past tense of nehmen, to take.
nahtfrei	 seamless
nahtlos	 seamless
naiv	 green (inexperienced)
naiv	 naive
namenlos	 nameless, innominate
namentlich	 by name
namentlich	 especially, namely
namhaft	 well-known, famous
namhaft	 considerable
namibisch	 Namibian (of, from, or pertaining to Namibia)
narkoleptisch	 narcoleptic
narkotisierend	 narcotic
narzisstisch	 narcissistic
naschen	 to nibble, to eat sweets on the sly
nass	 wet
nasschemisch	 wet chemical
nassmachen	 To wet
naszierend	 nascent
national	 nationalist
nationalisieren	 to nationalize
nationalsozialistisch	 national socialist
nativ	 native
natriumhaltig	 sodium-containing
natriuretisch	 natriuretic
naturbelassen	 natural, untouched
natürlich	 natural, normal
natürlich	 naturally
natürlich	 of course
nauruisch	 Nauruan (pertaining to Nauru)
naß	 wet
nebelig	 foggy
nebeln	 to grow foggy
nebeln	 to lay a smokescreen
neben	 near, near to, next to
nebenan	 next-door
nebenbei	 besides, additionally, along the way
nebenbei	 by the way
nebeneinander	next to each other
nebenstehend	 adjacent, adjoining
neblig	 foggy
nebst	 besides (in addition to), with
necken	 to tease
negativ	 negative (not positive)
neger	 bankrupt; broke
nehmen Sie Platz	 have a seat, take a seat
neidisch	 envious
neidvoll	 envious
neigen	 to bend
neigen	 to tilt
neigen	 to tend
nein	 no
nein danke	 no thank you (polite way of saying no)
nennend	 Present participle of ''nennen''.
nennenswert	 considerable, appreciable
nennenswert	 noteworthy, significant
nennenswert	 considerably, appreciably
nennenswert	 significantly
neolithisch	 Neolithic (relating to the New Stone Age)
neolithische	 Inflected form of neolithisch
nepalesisch	 Nepalese (pertaining to Nepal)
nerven	 to bug (to annoy)
nervtötend	 tedious, pesky
nervös	 nervous (anxious)
nervös	 jumpy
nett	 sweet (having a helpful disposition)
nett	 nice
nett	 quite
netzartig	 reticular, netlike
neu	 new
neu	 modern, recent, latest
neuartig	 novel
neuerdings	 lately
neuerdings	 again
neuerlich	 again, anew
neuerlich	 lately, recently
neugeboren	 newborn
neugierig	 nosy, curious, inquisitive, prying
neuhochdeutsch	 New High German (related to the New High German language)
neulich	 recently (in the recent past)
neumodisch	 newfangled
neuntausendneunhundertneunundneunzig	 nine thousand nine hundred and ninety-nine; 9,999
neununddreißig	 thirty-nine
neunundfünfzig	 fifty-nine (59)
neunundneunzig	 ninety-nine (cardinal number 99)
neunundsechzig	 sixty-nine (69)
neunundsiebzig	 seventy-nine (79)
neunundvierzig	 forty-nine (49)
neunundzwanzig	 twenty-nine
neunzehn	nineteen
neunzig	 ninety
neurodegenerativ	 neurodegenerative
neurologisch	 neurological
neuromuskulär	 neuromuscular
neurotisch	 neurotic
neurotoxisch	 neurotoxic
neustarten	 to restart
neutestamentlich	 ''(Bible)'' of / pertaining to the New Testament
neutralisieren	 to neutralize
nhd.	 neuhochdeutsch &equiv; New High German (language)
nicaraguanisch	 Nicaraguan (pertaining to Nicaragua)
nicht	 not
nicht wahr	 isn't it so|isn’t it so? (literally, "not true?"), used as an expression of affirmation after a statement
nicht zutreffend	 n/a|not applicable (abbreviation: n. z.)
nicht einmal	 not even
nichtenzymatisch	 nonenzymatic
nichtig	 void (having lost all legal validity)
nichtkristallin	 noncrystalline
nichtleitend	 nonconducting
nichtleitend	 insulating
nichtmagnetisch	 nonmagnetic
nichtmagnetisierbar	 nonmagnetizable
nichtmetallisch	 nonmetallic
nichtnegativ	 nonnegative (either zero or positive)
nichtrostend	 rustproof, stainless
nichts	 nothing
nichtsdestotrotz	 nonetheless
nichtsdestoweniger	 nonetheless
nichtsymbiotisch	 nonsymbiotic
nickelfrei	 nickel-free
nicken	 to nod
nie	 never
nieder	 low
nieder	 mean
nieder	 down
niederdeutsch	 Low German (related to the Low German language)
niederenergetisch	 low-energy (attributive)
niederknieen	 to kneel down
niederknieend	 kneeling down
niederknien	 to kneel down, to genuflect
niederländisch	 Dutch (of the Netherlands, people, or language)
niederschlagen	 to defeat (an enemy)
niederschlagen	 to quell (a rebellion)
niederschlagen	 to strike (someone) down, to beat (someone) down; to force someone downwards
niederschlagen	 to cast down (one's eyes), to look down
niedersorbisch	 Lower Sorbian (related to Lower Lusatia, to its people or to the Lower Sorbian language)
niedlich	 cute, pretty, charming, adorable
niedrig	 low
niemals	 never (at no time)
niemand	 nobody
nieseln	 to drizzle
nieten	 To rivet
nigerianisch	 Nigerian
nihilistisch	 nihilarian, nihilistic
nilotisch	 Nilotic: of or pertaining to the Nile
nilotisch	 Nilotic: of or pertaining to the Nilotic language family
nirgends	 nowhere (in no place)
nirgendwo	 nowhere (in no place)
niveaulos	 mediocre
niveauvoll	 high-class
nivellieren	 to level
nl.	 niederländisch &equiv; Dutch (language)
nobel	 noble, honourable
noch einmal	 one more time, again
noch	 still
noch	 nor
noch	 yet
noch	 with ein/eine|e/einer|r/eines|s: another
nochmals	 again, once more
nomadisch	 nomadic
nonkonformistisch	 nonconformist
norddeutsch	 North German; northern German; from or pertaining to northern Germany or the people, the culture or the dialects of this region
norddonauisch	 to the north of the Danube; North Danubian
nordelbisch	 on the north side of the Elbe; North Elbian
nordfriesisch	 North Frisian (related to the North Frisians or to the North Frisian language)
nordisch	 Nordic
nordisch	 Norse
nordkoreanisch	 North Korean (pertaining to North Korea)
nordostdeutsch	 from or pertaining to northeastern Germany or the people, the culture or the dialects of this region
nordrheinisch	 to the north of the Rhine
nordrheinisch	 of, located by or pertaining to the northern portions of the Rhine
nordwestdeutsch	 from or pertaining to northwestern Germany or the people, the culture or the dialects of this region
nordwestlich	 northwest, northwesterly
nordwestlich	 northwesterly
normalerweise	 normally
normotherm	 normothermic
nostratisch	 Nostratic (related to the Nostratic language family and the study thereof)
nostrifizieren	 to nostrify: to grant recognition to a degree from a foreign university
nostrifizieren	 to nostrify: to adopt as part of one's own culture or language
notfalls	 if necessary
notfalls	 in case of emergency
notiert	 listed
notiert	 noted, noticed
notlanden	 to make an emergency landing, to make a forced landing
notwendig	 necessary, essential, indispensable
notwendigerweise	 necessarily
nu	 wellInterjection|well, well now
nuanciert	 nuanced
nuklear	 nuclear
nuklearmedizinisch	 nuclear medicine (attributive)
numerisch	 numeric
nummerieren	 to number
nun	 now; then
nun	 (when placed at the beginning of a sentence) well; so
nur	 only, merely, just
nur über meine Leiche	 over my dead body, never
nurmehr	 only
nutzbar	 available, usable, utilizable
nutzen	 to benefit from
nutzen	 to deploy
nutzen	 to exploit
nutzen	 to harness
nutzen	 to make use of something (''etwas'' nutzen)
nutzen	 to turn to account
nutzen	 to use
nutzen	 to utilise
nutzlos	 useless
nutznießerisch	 usufructuary
nächst	 next
nächtlich	 nocturnal (taking place at the night)
nähen	 to sew
näherungsweise	 approximately
nähren	 to feed
nämlich	 namely
nölen	 to gripe
nördl.	 nördlich
nördlich	 north, northern
nörgeln	 to nag, to grumble
nörglerisch	 querulous, naggy
nötig	 necessary
nüchtern	 sober
nützlich	 useful; helpful
o	 O
o. ä.	 Abbreviation of: oder ähnlich ("or similar")
o. Ä.	 Abbreviation of: oder Ähnliche / Ähnliches ("or similar items / things")
o. g.	 Abbreviation of: oben genannt ("aforementioned, named above")
o. B. d. A.	 without loss of generality (without loss of generality)
ob	 (''subordinating'') if, whether
obdachlos	 homeless
oben	 above
obendrein	 besides, additionally, also
ober	 upper
oberflächennah	 near-surface (attributive)
oberflächlich	 superficial
oberhalb	 above
obersorbisch	 Upper Sorbian (related to Upper Lusitia, to its people or to the Upper Sorbian language)
obgleich	 albeit, even though
obig	 above
obig	 foregoing
objektiv	 objective (not influenced by emotions)
obligatorisch	 compulsory (mandatory)
obschon	 albeit (despite its being; although)
observieren	 to observe
obskur	 obscure (dark, faint or indistinct)
obsolet	 obsolete
obszön	 obscene
obwohl	 although, though, while
ocker	 ochre/ocher (color)
oder	 or
offen	 open
offen	 frank, candid
offen	 honest, sincere
offenbar	 apparent (evident)
offenbar	 apparently, evidently; obviously
offener Fonds	 open-end fund
offenliegend	 exposed
offensichtlich	 obvious
offensichtlich	 evident, apparent
offiziell	 official
oft	 often
oftmals	 oftentimes
ohne	 without
ohne Schnickschnack	 no-frills
ohne Unterlass	 without intermission
ohnedies	 anyway, anyhow
ohnegleichen	 without equal
ohnehin	 in any case, anyway
ohnmächtig	 unconscious (Having lost consciousness for a short time as in ''ohnmächtig werden'' ("to faint, to pass out").)
ohnmächtig	 powerless, helpless
ohrenbetäubend	 deafening
okkasionell	 occasional (limited to certain occasions; not very often; sometimes)
okkult	 occult
oktaedrisch	 octahedral
oktroyieren	 to impose
okzidental	 occidental
okzitanisch	 Occitan (related to the Occitan language)
olfaktorisch	 olfactory
oligodynamisch	 oligodynamic
oliv	 olive (green)
olympisch	 Olympic
omanisch	 Omani (Of, from, or pertaining to Oman, the Omani people or the Omani language)
ominös	 strange; of unknown character
ominös	 dubious; often told of, but of unknown character or even questionable existence
omnipräsent	 omnipresent (being everywhere)
onanieren	 to masturbate
ondulieren	 to undulate
onkelhaft	 avuncular
opak	 opaque
opalisierend	 opalescent
operieren	 to operate (perform operation)
opfern	 to sacrifice
opportunistisch	 opportunistic
optimistisch	 optimistic
optisch	 optical, optic
optisch	 visual
optisch	 optically
optisch	 visually
optometrisch	 optometric
oral	 Relating to the mouth.
orangefarben	 orange-coloured
orangefarbig	 orange-coloured
orangegelb	 orange-yellow
orangerot	 tangerine (orange-red colour)
ordentlich	 tidy, orderly
ordern	 to order (to request some product or service)
ordinär	 vulgar
ordinär	 ordinary
ordnen	 to put inEnglish|in order, to order
ordnungsgemäß	 duly
ordnungsmäßig	 duly
organisieren	 to organize
organismisch	 organismic
organoleptisch	 organoleptic
organologisch	 organological
orientalisch	 oriental
orten	 To locate
orthomolekular	 orthomolecular
orthorhombisch	 orthorhombic
oskisch	 Oscan (related to the Oscans or to the Oscan language)
ossetisch	 Ossetian (related to the Ossetians, their country or their language)
ostarmenisch	 Eastern Armenian (related to the Eastern Armenian language or to the Eastern part of Armenia)
ostdeutsch	 eastern German; from or pertaining to eastern Germany or the people, the culture or the dialects of this region
ostelbisch	 on the east side of the Elbe; East Elbian
osteoporotisch	 osteoporotic
ostrheinisch	 on the east (thus: right) side of the Rhine
oszillieren	 to oscillateEnglish|oscillate
out	 out of fashion
ovipar	 oviparous (egg laying)
oxidativ	 oxidative
oxidativ	 oxidatively
oxidierbar	 oxidizable
oxidieren	 To oxidize
oxidierend	 oxidizing / oxidising
oxidiert	 oxidized
oxygenen	 oxygenic
ozeanisch	 oceanic
ozeanisch	 pelagic
paarweise	 pairwise (occurring in pairs)
pachten	 to lease
paddeln	 to paddle
paginieren	 to paginate
pakistanisch	 Pakistani (Of, from, or pertaining to Pakistan, or its people)
palatalisiert	 palatalised
palästinensisch	 Palestinian (of, from, or pertaining to Palestine or the Palestinian people)
panamaisch	 Panamanian (pertaining to Panama)
pandeistisch	 pandeistic
pandemisch	 pandemic
panendeistisch	 panendeistic
panentheistisch	 panentheistic
panieren	 to bread
panikartig	 panicky, panic-stricken, in panic
panisch	 panicky, panic-stricken, in panik
panphotometrisch	 panphotometric
pantheistisch	 pantheistic
paradiesisch	 paradisiacal, heavenly
paradox	 paradoxical
paradoxerweise	 paradoxically
paraguayisch	 Paraguayan (pertaining to Paraguay)
paralysieren	 to paralyze
parametrisch	 parametric
parametrisieren	 to parametrize
paraphrasieren	 to paraphrase (to compose a paraphrase)
paraphyletisch	 paraphyletic (excluding some descendants of the most recent common ancestor)
parasitär	 parasitic
parat	 at hand
parat	 ready
parfümiert	 perfumed
parken	 to park
parlamentarisch	 parliamentary
parlieren	 to chat
partiell	 partial (existing in part)
partizipativ	 participatory
partnerschaftlich	 as partners, in partnership
partout	 constantly
parvenühaft	 parvenu
passabel	 acceptable, fair
passee	 Alternative spelling of passéGerman|passé
passen	 to fit
passen	 to suit, to be suitable
passend	 suitable, fitting, matching
passiv	 passive
passives Wahlrecht	 the right to be voted for (the right to be a candidate for an office and possibly be elected to it)
passivierend	 passivating
passé	 past, over
pasteurisieren	 to pasteurize (to heat food in order to kill harmful organisms)
patent	 clever
patent	 ingenious
patentieren	 to patent (mostly used as in: to grant a patent; from the view of the applicant the passive form "patentieren lassen" is commonly used)
pathetisch	 pompous
pathetisch	 pathetic
pathognomonisch	 pathognomonic (beyond any doubt diagnostic for a particular disease)
pathologisch	 pathological, pathologic
patriotisch	 patriotic
patrouillieren	 to patrol
patschnass	 soaked, soaking wet
patzen	 to blunder
patzig	 snotty
pausbäcking	 chubby-faced
pauschal	 flat (with units of time, distance, etc: not exceeding)
pausenlos	 pauseless
pazifistisch	 pacifistic, pacifistically
pechschwarz	 pitch black
peinlich	 awkward (perverse; adverse; untoward)
peinlich	 embarrassing
pelzig	 furry, covered with fur
pendeln	 to commute
penetrieren	 to penetrate
pennsylvanisch	 Pennsylvanian
per Anhalter fahren	 to hitchhike
perdu	 lost
perfekt	 perfect
perfektionieren	 to bring to perfection, to perfect
perfide	 perfidious
perfluoriert	 perfluorinated
perforieren	 to perforate (to pierce or penetrate)
periodisch	 periodic (all senses)
permanent	 permanently, incessantly
peroxidieren	 To peroxide
persiflieren	 to satirize
persisch	 Persian (pertaining to the Persian people, to the Persian language or to Persia)
persönlich	 personal
persönlich	 personally, in person
peruanisch	 Peruvian (pertaining to Peru)
pessimistisch	 pessimistic
peu à peu	 bit by bit, little by little
pfiffig	 smart (clever)
pflanzen	 to plant
pflanzlich	 herbal, vegetable
pflanzlich	 botanical
pflichtig	 liable
pflichtig	 obligatory, binding
pflücken	 to pluck
pflügen	 to plow, to plough
pfropfen	 to graft (insert scions from one tree, or kind of tree, etc.)
pfui	 an exclamation of disgust, aversion, dislike, contempt, or annoyance
phallisch	 phallic
pharmakologisch	 pharmacological
pharmazeutisch	 pharmaceutical
philanthropisch	 philanthropic
philiströs	 bigoted, narrow-minded
philosophieren	 to philosophize
philosophisch	 philosophical
phlegmatisch	 phlegmatic
phlegmatisiert	 desensitized
phonetisch	 phonetic (phonetic)
phosphathaltig	 phosphatic (containing phosphate)
phosphorhaltig	 phosphoric, phosphorous (containing phosphorus)
photoaktiviert	 photoactivated
photometrisch	 photometric
photonisch	 photon (attributive), photonic
photospektrometrisch	 photospectrometric
phototroph	 phototrophic
physiognomisch	 physiognomic
physiologisch	 physiological
physisch	 material
phytotoxisch	 phytotoxic
phänomenal	 phenomenal
phönizisch	 Phoenician (related to Phoenicia)
phönizische Schrift	 Phoenician alphabet
phönizisches Alphabet	 Phoenician alphabet
picardisch	 Picard (related to the region of Picardy, to its inhabitants or to the Picard language)
picheln	 to tipple (to drink alcohol regularly, but not to excess)
picken	 to peck
picken	 to pick
picklig	 pimply
picknicken	 to picnic, to have a picnic
piesacken	 to badger (annoy badly)
pietätlos	 impious, (irreverent, disrespectful)
pikant	 piquant
pikiert	 piqued
pilgern	 to pilgrimage
pilzartig	 fungal
pilzartig	 mushroomlike
pinkeln	 To pee
pipettieren	 to pipet
pittoresk	 picturesque
plagiieren	 to plagiarize
plakativ	 graphic, slogan-like
plan	 planar
planen	 to plan
planetar	 planetary
planlos	 without a plan, haphazard
planschen	 to plash, to splash
plastisch	 plastic
plastisch	 malleable
plastisch	 vivid
platiniert	 platinized
platschen	 to plash
platt	 flat
platt	 bromidic
platzen	 to burst
platzieren	 to place, to plant
platziert	 placed, seated
plaudern	 to chat
pleistozän	 Pleistocene
pleite	 broke
plemplem	 nuts, crazy
plump	 crude, clumsy
plutonisch	 plutonic (igneous rock that cooled and hardened below the surface of the Earth)
plädieren	 to plead
plättchenförmig	 platelike
plötzlich	 sudden
plötzlich	 abrupt
plötzlich	 brusque
plötzlich	 suddenly
plündern	 to loot, to plunder, to pillage, to raid
pneumatologisch	 pneumatological
pochen	 to thump, to throb
pochieren	 to poach (cook in simmering water)
poikilohydrisch	 ''(biology, ecology)'' poikilohydric (plants that cannot prevent desiccation)
polabisch	 Polabian (related to the Polabians or to the Polabian language)
polarisieren	 to polarize / polarise
polarographisch	 polarographic
polemisch	 polemical, polemic
polieren	 to shine (to polish)
politikwissenschaftlich	 Pertaining to political science.
politisch	 political
politologisch	 Pertaining to political science.
polizeilich	 of the police, by the police
polnisch	 Polish (of Poland or its language)
poltawisch	 of or pertaining to Poltava; Poltavian
polychloriert	 polychlorinated
polydeistisch	 polydeistic
polygam	 polygamous
polykristallin	 polycrystalline
polymer	 polymeric
polymerisiert	 polymerized
polynesisch	 Polynesian
polysynthetisch	 polysynthetic (polysynthetic)
polytheistisch	 polytheistic
pompös	 pompous
popeln	 to pick one's nose
poplig	 measly, half-assed
populistisch	 populist
populärwissenschaftlich	 popular science (attributive)
porig	 porous
pornografisch	 pornographic
pornographisch	 pornographic
portabel	 portable
porträtieren	 to paint a portrait of
porträtieren	 to portray
portugiesisch	 Portuguese
portugiesischer Wasserhund	 Portuguese Water Dog
porös	 porous ''(permeable)''
positiv	 positive
postfrisch	 mint (unused stamp)
postsynaptisch	 postsynaptic
postulieren	 to postulate
postum	 posthumous
postvulkanisch	 postvolcanic
potentiometrisch	 potentiometric
potenziell	 potentially
pragmatisch	 pragmatic
prahlen	 to brag
praktisch	 practical
praktisch	 convenient
praktiziert	 practiced / practised
predigen	 to preach
preisgeben	 to disclose, to reveal
preisverdächtig	 possibly award-winning
preiswert	 inexpensive
preiswert	 budget (attributive)
prekär	 precarious
presbyterianisch	 Presbyterian
prestigeträchtig	 prestigious
preußisch	 Prussian
prickeln	 to prickle, to tingle
prickelnd	 prickling, tingling
priesterlich	 priestly, clerical
primitiv	 primitive
primär	 primary
prinzipiell	 basically
priorisieren	 to prioritize
privatisieren	 to privatize
privilegieren	 to privilege
privilegiert	 privileged
pro Kopf	 per capita
pro Kopf	 per capita
proaktiv	 proactive (acting in advance)
proben	 to rehearse
probieren	 to try
probieren	 to taste
probieren	 to sample
problematisch	 problematic, problematical
problemlos	 trouble-free, hasslefree
