A positivo	 A positive (blood type)
radioquímico	 radiochemical
radiotraçador	 radiotracer, radiomarker
radão	 radon
raiado	 striped, striated, brindled
rainha	 queen (''monarch'')
raio	 beam, ray (of light or radiation)
raio	 lightning
raio laser	 laser beam
raiva	 anger (a strong feeling of displeasure, hostility or antagonism towards someone or something)
raiva	 rabies (viral disease)
raivoso	 rabid
raivoso	 enraged, furious
ralador	 which grates, shreds
ralar	 To grate, scrape
ralhador	 scolding
ralhador	 nagging
ralhar	 to scold
ralho	 reprimand
ralho	 censure
ralé	 rabble, riff-raff
ramagem	 (''especially in plural'') foliage
ramificar	 To branch
ramificar	 To ramify
ramificação	 branch, branching
ramificação	 offshoot
ramificação	 ramification
ramo	 bouquet
ramo	 bough
ramo	 branch
ramo	 subject, field, discipline (at school, university etc.)
rancorosamente	 rancorously
randomicamente	 With unpredictable outcomes; at random; randomly; haphazardly.
rapagão	 lad (big boy)
rapaz	 boy
rapaziada	 group of boys
rapaziada	 jig
rapazinho	 little boy
rapazola	 big boy (for his age)
rapidamente	 With speed; rapidly; quickly.
rapieira	 rapier (sword)
raposa	 fox (''Vulpes vulpes'')
raposa	 vixen (all senses)
raposinho	 fox cub
raposinho	 stink
raposo	 foxlike in colour
raposo	 fox
raposo	 crafty / wily person
raptar	 to abduct
raramente	 rarely
raramente	 infrequently, seldom
rarefazer	 To rarefy
rarefazer	 To attenuate
raridade	 rarity, rareness
raridade	 rara avis
raso	 shallow
raso	 flat
rasteiro	 ground-level
rateadamente	 proportionately (in proportion)
ratear	 To apportion
ratear	 To prorate
rateio	 apportionment
ratificar	 To ratify
ratificação	 ratification
rato	 mouse
rato	 rat
razoabilidade	 reasonableness
razoavelmente	 reasonably, not extremely
razoável	 reasonable (all senses)
razoável	 sensible
razoável	 moderate
razão	 reason (the faculty of capacity of the human mind)
raça	 race, breed
raça	 brood
reabilitar	 To rehabilitate
reabilitação	 rehabilitation
reabsorção	 reabsorption
reactividade	 reactivity
reagir	 To react
reagir	 To respond
reagir	 To interact
real	 a real number
real	 Of or relating to the monarchy; royal; regal.
real	 Having the air or demeanour of a monarch; royal.
realizador	 director
realizar	 To realize, execute, carry out, put into practice
realização	 realization
realização	 performance
realizável	 realizable, achievable, doable
realmente	 truly, really, actually
realojamento	 rehousing
realojar	 To rehouse
realçar	 To highlight, enhance, emphasize
realçar	 To stress
reaproveitar	 To reuse, reutilize
rearrumar	 to rearrange
reatividade	 reactivity
reativo	 reactive
reator	 reactor
reação	 reaction (action in response to an event)
rebanho	 herd, flock
rebarbativo	 rebarbative
rebatizar	 To rename, rechristen
rebelde	 a recalcitrant individual
rebelde	 rebellious
rebelde	 recalcitrant
rebelde	 untameable
rebelião	 rebellion (armed resistance)
rebentar	 To burst, explode
rebento	 bud; sprout
rebento	 son; descendant
rebento	 fruit; result
rebitagem	 riveting
rebolar	 To roll (like a ball)
rebolar	 To grind (wiggle one's hips)
reboque	 trailer
reboque	 tow
rebrilhar	 To shine with increased intensity
rebrilhar	 To be resplendent
rebuscado	 well-educated, civilized, courteous
rebuscar	 To rummage
rebuscar	 To glean
recado	 message
recair	 To fall again or often
recair	 To relapse, reoffend
recalcitrar	 To be recalcitrant
recanto	 nook, den (quiet, comfortable place)
recarregável	 rechargeable
recear	 To fear, dread
recear	 To suspect
receber	 to get; to receive
receber	 to collect or receive payment
receber	 to be hit by something
recebimento	 reception, receipt (act of receiving)
receio	 fear, awe
receio	 apprehension, trepidation
receitar	 To prescribe
receituário	 prescription
recente	 Having happened a short while ago; recent.
recente	 Not old-fashioned or dated; recent; up-to-date.
recentemente	 recently
receoso	 afraid, fearful
receoso	 apprehensive
receoso	 shy, bashful
recepção	 reception (act of receiving)
recheado	 stuffed, filled (food etc)
recheado	 wealthy
recheado	 stuffing, filling
reciclado	 recycled
reciclagem	 recycling
reciclar	 To recycle
recitar	 To recite, declaim
reclamar	 to complain
reclamar	 to claim
reclamação	 complaint (act of complaining)
recobrimento	 coating, covering
recobrir	 To cover (completely)
recobrir	 To overlay
recolher	 To collect, gather
recolher	 To save
recombinação	 recombination
recomendar	 To recommend, commend
recomendar	 To advise
recomendação	 recommendation
recomendação	 advice
recomendação	 commendation
recomendável	 recommendable
recomeçar	 To restart, recommence
recompensa	 the act of rewarding
reconhecer	 to recognize
reconhecível	 recognizable
reconstituinte	 restorative
reconstituir	 To reconstitute
reconstituição	 reconstitution
recopiar	 to recopy; to reproduce
recordar	 To remember, recall, recollect
recordar	 To remind
recordação	 memory, recollection
recordação	 souvenir, keepsake, memento
recorrente	 recur|Recurring time after time; recurrent.
recorrer	 resort (to have recourse out of necessity or frustration)
recorrer	 rehash, revisit, go over, rerun, do over, return, copy, double up, repeat a route
recorrência	 recurrence
recorrência	 repetition
recozer	 To anneal
recozido	 annealed
recreio	 recreation (all senses)
recreio	 playground (for children)
recreio	 playtime (for scoolchildren)
recriar	 To recreate
recriação	 recreation (act of recreating)
recristalizar	 To recrystallize
recristalização	 recrystallization
recrudescer	 To intensify
recrudescer	 To exacerbate
recuar	 To recede, retreat
recuar	 To indent
recuar	 To recoil, flinch
recuperador	 recuperator
recuperador	 regenerator
recuperar	 To recover
recuperação	 recovery
recuperação	 recuperation
recuperação	 retrieval
recuperação	 reclamation, regeneration
recursivo	 recursive
recurso	 option; choice; resort; means
recurso	 resource
recurvar	 To recurve
recurvar	 To lean into a corner
recusar	 To refuse, decline, reject
recém	 (''especially in combination'') freshly, recently
redator	 editor
redator	 copywriter
redação	 wording, text, composition
redação	 redaction
rede	 net
rede	 hammock
rede	 network
redefinir	 To redefine
redenção	 redemption
redenção	 salvation
redescobrir	 to rediscover
redigir	 To write, compose
redimir	 to redeem
redobrar	 To redouble
redoma	 bell jar
redoma	 dome, cupola
redor	 the area surrounding someone or something
redundante	 redundant
redundante	 pleonastic
redundantemente	 redundantly
redutivo	 reductive
redutor	 reducer
redutível	 reducible
redutível	 reductive
reduzido	 reduced, diminished
reduzido	 restricted
reduzir	 To reduce, cut, shorten
reduzir	 To decrease, lessen, diminish
redução	 reduction (all senses)
redução	 curtailment
redução	 cutback
redução	 decrease
reembolsar	 To reimburse, refund, repay
reenviar	 to forward, send on (a message)
reenviar	 to retransmit
reestruturar	 To restructure
refeição	 meal (food that is prepared and eaten)
referencial	 referential
referenciar	 To reference
referir	 to be about something; to have something as a subject
referência	 reference
refinado	 refined
refinado	 cultivated
refinamento	 refining
refinamento	 refinement, sophistication
refinar	 To refine, purify
refinaria	 refinery
refinação	 refining
refinação	 refinement
refletir	 to mirror
refletir	 to reflect
refletir	 to ponder, meditate
refletor	 reflector
refletor	 reflective
reflexão	 reflection (all senses)
reformação	 reformation
reforçar	 To reinforce
reforçar	 To strengthen
reforçar	 To intensify
reforço	 reinforcement
reforço	 intensification
refractário	 refractory
refratar	 To refract
refratário	 refractory
refrigerar	 to cool; cool down
refrigerar	 to refrigerate
refrigeração	 refrigeration, cooling
refrão	 proverb; maxim
refém	 hostage
refúgio	 refuge, haven
rega	 irrigation
regatear	 to haggle over
regenerar	 To regenerate
regenerativo	 regenerative
regeneração	 regeneration
regeneração	 reclamation
reger	 To govern, rule, administer
regiamente	 regally
regido	 governed, directed
regimento	 the act of rule|ruling, governing
registar	 (''Portugal'') to register, to record
registo	 registration
região	 region; district
regozijo	 joy
regozijo	 rejoicing
regras	 menstruation, period
regressar	 To return, revert, regress
regressão	 regression
regulamentar	 To regulate, control
regulamentação	 regulation
regulamento	 regulation, rule
regular	 average
regular	 to regulate
regular	 to tune (an engine)
regular	 to set (a watch, clock)
regularidade	 regularity.
regulação	 regulation (all senses)
regência	 regency (all senses)
regímen	 regimen (all senses)
reino	 kingdom (nation having as supreme ruler a king and/or queen)
reitor	 rector
reitor	 provost
reitor	 dean
reivindicar	 To claim, assert
reivindicar	 To reclaim
reivindicar	 To vindicate
reivindicação	 claim
reivindicação	 vindication
rejeição	 rejection
rejeição	 refusal
relacionado	 related
relacionar	 to relate
relance	 glance
relato	 broadcastNoun|broadcast (usually in radio) of a sports event (mostly football)
relaxa e goza	 relax|Relax and cum.
relaxado	 Made less tight; loose; relaxed.
relaxado	 Having an easy-going mood or temperament; relaxed.
relaxado	 Lacking a sense of responsibility; irresponsible.
relaxamento	 relaxation
relação	 relation
relação sexual	 sexual intercourse (sexual interaction)
relembrar	 To recall
relembrar	 To remember
reles	 despicable
reles	 lousy, cheap
reles	 vulgar, common
reles	 worthless.
relha	 coulter
relha	 ploughshare
relicário	 reliquary
relicário	 shrine.
religiosamente	 religiously
religiosidade	 religiousness
religioso	 religious
religião	 religion
relojoeiro	 relating to clocks
relojoeiro	 relating to clockmaking
relutantemente	 reluctantly
relutar	 To resist
relutar	 To be reluctant
relutar	 To be recalcitrant
relutância	 reluctance (all senses)
reluzente	 glittering
relva	 grass, turf
relva	 herbage, hay
relíquia	 relic
relíquia	 heirloom
relógio	 watch
relógio de pulso	 wristwatch
remanescente	 which survived
remar	 to row
rematado	 full
rematado	 unmitigated
rematar	 To finish (off)
remeter	 submit, mailVerb|mail, remit, send, shipVerb|ship, transfer
remeter	 suggest, refer
reminiscência	 reminiscence, recollection
remir	 To redeem, remit
remir	 To compensate
remir	 To forgive
remir	 To rehabilitate
remissão	 remission
remissão	 pardon
remição	 remittance
remodelação	 remodelling
remodelação	 renovation
remoer	 to mill or grind repeatedly
remoer	 to chew
remontar	 To remount
remontar	 To reassemble
remorso	 remorse
remorso	 regret
remover	 to remove
remoção	 removal
remunerar	 To remunerate
remunerar	 To compensate
remuneratório	 remunerative
remuneração	 remuneration, pay, salary
remuneração	 payment
renascer	 To revive
renascimento	 revival
renascimento	 renaissance
renascimento	 regeneration
renda	 a piece of fabric or clothes made of lace
rendar	 to anything but to rent
render	 To render
render	 To yield
render	 To dominate or command
render	 To subject
rendimento	 income
rendimento	 yield, return
rendimento	 revenue
rendimento	 efficiency, productivity
rendição	 surrender, capitulation
renegado	 renegade.
renomear	 To rename
renomear	 To renominate
renovar	 To renew, renovate, refurbish
renovação	 renovation
renovação	 renewal
renovação	 revival
renovável	 renewable
rentável	 profitable
renunciar	 to renounce
reorganizar	 To reorganize
reoxidar	 To reoxidize
reparação	 repair
reparação	 reparation
repartir	 To share, apportion
repartir	 To allocate, distribute
repartição	 distribution
repartição	 allocation
repelir	 to repel (to push away)
repentinamente	 Happening quickly and without warning; suddenly; unexpectedly; out of nowhere; out of the blue.
repercussão	 repercussion
repercussão	 reverberation
repetidamente	 repeatedly
repetir	 to eat more than one plateful of something during a meal
repetição	 repetition
repetição	 duplication
repisar	 To step back or again
repisar	 To trample
replantar	 To replant
replantação	 replanting
repleto	 replete; full
replicar	 To reply, answer, respond
replicar	 To refute, contest
replicar	 To replicate
replicação	 replication
repolho	 cabbage
repor	 to put back
repor	 to put again
repor	 to restitute
reportado	 reported
reportagem	 reportage
reportar	 To report
repousar	 to repose; to rest, to relax
repouso	 the act of resting
repreender	 to reprimand, to reprehend
repreender	 to censure
repreensão	 admonition
represa	 reservoir of a dam
representado	 represented
representado	 reproduced
representado	 proprietary
representar	 To represent
representar	 To typify
representar	 To depict
representação	 representation (all senses)
representação	 impersonation
representação	 portrayal
reprimível	 repressible
reprise	 rerun or re-airing of a TV program
reprocessamento	 reprocessing
reprocessar	 To reprocess
reprodutivo	 reproductive
reprodutor	 reproductive
reprodutor	 breeder
reproduzir	 To reproduce, breed, propogate
reproduzir	 To copy
reprovar	 To disapprove
reprovar	 To condemn
reprovar	 To reject
reprovação	 reproof
reprovação	 reprobation
reprovação	 disapproval
repugnância	 disgust; aversion; repugnance
repulsão	 repulsion
reputação	 name, reputation
repórter	 reporter (journalist)
requerente	 applicant
requerente	 claimant
requerimento	 application
requerimento	 request
requestar	 To ask, beg
requestar	 To court, woo
requisito	 requirement; necessity
requisição	 request
requisição	 requisition
reservatório	 reservoir, store
reservatório	 container
reservatório	 deposit
resfriado	 cooled; refrigerated
resfriado	 afflicted with the common cold
resfriamento	 cooling
resgatar	 To rescue
resgatar	 To redeem
resgatar	 To ransom
resgate	 rescue
resgate	 ransom
residencial	 residential
residir	 To reside, dwell
resignadamente	 resignedly
resignado	 resigned (to)
resignado	 uncomplaining
resignado	 long-suffering
resignado	 despairing
resignar	 To resign
resignação	 resignation (all senses)
resignação	 submission
resistir	 to resist
resistência	 resistance (act of resisting)
resistível	 resistible
resolução	 resolution
resolver	 to dissolve; to dissipate
respectivamente	 respectively
respectivo	 respective
respectivo	 own; personal
respeitante	 concerning
respeitar	 To respect, look up to
respeitar	 To revere, venerate
respeitar	 To honour
respeitosamente	 respectfully
respeitoso	 respectful
respeitável	 respectable
respeitável	 reputable
respetivo	 respective
respigar	 To glean
respirar	 to breathe
respiratório	 respiratory
respiração	 respiration, breathing
respiração	 breath
respiração	 breather (short break)
resplandecente	 resplendent, glorious
resplandecente	 blazing, ablaze
responder	 to counterattack
responsabilidade	 responsibility, responsibleness
responsável	 responsible
responsável	 liable, accountable, answerable
resposta	 answer
ressaca	 hangover
ressalvar	 To note, indicate
ressalvar	 To caveat
ressarcir	 To reimburse
ressarcir	 To indemnify
ressecar	 To desiccate
ressonar	 To resound, echo
ressonar	 To snore
ressonância	 resonance
ressurgir	 To reappear
ressurgir	 To resurge
ressurreição	 resurrection (the act of arising from the dead)
restabelecer	 To reestablish, restore, reinstate
restar	 To remain
restar	 To stay
restaurar	 To restore
restaurar	 To renovate
restauração	 restoration
restauração	 renovation
restituir	 To repay, refund
restituição	 restitution
restituição	 refund
restringir	 to restrict; to restrain; to limit
restritivo	 restrictive
restrito	 restricted
restrição	 restriction, limitation
resultante	 resultant
resultar	 to result
resumir	 to show only the essential elements of something
resumir	 to recapitulate; to review
resumir	 to mostly destroy; to leave only remains of something
resvalar	 To slide, slither
resíduo	 residual
resíduo	 remaining
resíduo	 residue
resíduo	 remainder
reta	 a straight section of a path or road
retaguarda	 rear
retal	 rectal
retalhar	 To shred
retalhar	 To firrow
retalhista	 retailer
retangular	 which has a rectangular base
retardado	 delayed|Delayed in development; retarded.
retardamento	 delay
retardar	 To retard, slow
retardar	 To defer, delay
retenção	 retention
retenção	 detention
reter	 To retain, hold
reter	 To withhold
reticuloendotelial	 reticuloendothelial
retidão	 rectitude
retidão	 probity
retidão	 legality
retificador	 rectifier
retificar	 To correct, rectify, adjust
retificação	 rectification
retificação	 correction
retificação	 adjustment
retinir	 To clank (make a metallic sound)
retinto	 (''of a colour'') dark, inky
retirar	 To remove
retirar	 To withdraw
reto	 Not crooked or bent; straight.
retorno	 return
retorquir	 To object, oppose
retorquir	 To retort, rejoin
retratar	 To portray, depict
retratação	 retraction, recantation
retratação	 withdrawal
retrato	 portrait
retribuição	 retribution
retroatividade	 retroactivity
retroativo	 retroactive
retrovírus	 retrovirus
retrucar	 To retort, reply
retumbante	 sounding, resounding
retábulo	 altarpiece.
retábulo	 retable.
retângulo	 rectangle
retículo	 reticle
retículo	 reticule
reumatóide	 rheumatoid
reunir	 to reunite
reunir	 to gather, collect
reunião	 meeting, reunion
reutilizar	 To reutilize.
revelar	 To reveal, disclose
reverencial	 reverential
reverenciar	 To revere
reverso	 reversed; turned around
reverso	 opposite; contrary
reversão	 reversal
reversão	 reversion
reversível	 reversible
reversível	 reversionary
revestimento	 covering, coating
revestimento	 jacket
revestimento	 revetment
revestir	 To coat, clothe
revestir	 To overlay
revigorante	 reinvigorating
revista	 magazine
revista	 search
revista	 review, inspection.
revistar	 search, seek
revisão	 revision
revitalizar	 To revitalize
revitalização	 revitalization
revogar	 To revoke, repeal
revogar	 To countermand
revogar	 To abrogate
revogação	 revocation
revogação	 repeal, abrogation
revogação	 countermand
revogável	 revocable, reversible
revoltante	 revolting, repugnant
revolto	 billowy
revolto	 boisterous
revolucionário	 revolutionary
revolucionário	 revolutionary
revolução	 revolution
revolver	 to turn over ''(e.g., earth)''
revérbero	 reverberation
revérbero	 reflection
revérbero	 reflector
revólver	 revolver (a handgun with revolving chambers)
rezar	 to celebrate a mass
ri	 ''third-person singular indicative present of rir''
riacho	 stream
ribeira	 watering, irrigation
ribeira	 stream, rivulet
ribeirinho	 riverine
rico	 rich
rico	 luxurious
rico	 tasty
ridicularizar	 To ridicule, deride, mock
ridículo	 ridiculous
rigidamente	 rigidly, stiffly
rijas	 Feminine plural form of rijo.
rijo	 hard, tough, stiff, wiry.
rim	 kidney
rima	 rhyme
rimar	 to rhyme
rinoceronte	 rhinoceros.
rio	 river
ripar	 To rip (all senses)
riqueza	 the wealth of a person, organisation or location collectively
riqueza	 natural resources
rir	 to laugh
risada	 laugh
risadinha	 giggle
riscar	 To scratch, delete, suppress
riscar	 To strike
risco	 a draft of a blueprint
risco	 a risky situation
risinho	 giggle
riso	 laughter, laugh
risonho	 laughing, smiling
risota	 derision, scorn, ridicule
risível	 laughable
ritmo	 rhythm
rito	 rite, ritual
rivalidade	 rivalry
rivalidade	 antagonism
rivalidade	 jealousy
rizoma	 rhizome
rizóbio	 rhizobium
robô	 robot
rocha	 rock
roda	 wheel
rodagem	 spinning, rolling, turning
rodar	 To rotate, revolve, turn
roedor	 rodent
roentgénio	 roentgenium (chemical element)
roentgênio	 roentgenium (chemical element)
roer	 To gnaw
rogar	 To beg
rogação	 rogation
rolamento	 bearing (mechanical device)
rolar	 to roam; to wander
romanche	 of the Romansh language
romancista	 novelist
romano	 Roman
rombencéfalo	 hindbrain
rombencéfalo	 rhombencephalon
romper	 To break
romântico	 romantic
rondante	 patrolling
ronronar	 to purr (of a cat, to make a vibrating sound in its throat)
rosa	 rose (flower).
rosa	 pink.
rosa	 pink (color).
rosado	 pink
rosicler	 pinkish-white
rosto	 face (part of head)
rosácea	 rose window
rotativo	 rotary, rotating, revolving
rotativo	 rotational
rotatória	 roundabout
rotação	 rotation
rotação	 gyration
roteiro	 itinerary
roteiro	 screenplay
rotina	 routine (all senses)
rotina	 habit
roubado	 Who illegally lost possession (of something); robbed.
roubado	 That has been stolen (from someone); robbed; stolen.
rouco	 hoarse, husky
rouco	 raucous
roupa	 clothes
roupa	 clothing
roxo	 having purple as its color
roxo	 being bruised
roxo	 purple (colour)
roçar	 To mow
roçar	 To skim
roçar	 To rub
rua	 street
rubi	 ruby
rubéola	 rubella (disease caused by the Rubella virus infecting the respiratory tract)
rubídio	 rubidium.
rudeza	 rudeness
rudimentar	 rudimentary, simple, crude, primitive
rufião	 ruffian
rufião	 pimp
ruga	 wrinkle
ruga	 crease
ruim	 bad
ruim	 ruined
ruinoso	 ruinous
ruir	 to collapse (to fall down suddenly; to cave in)
ruiva	 redhead (female)
ruivo	 auburn, ginger (hair colour)
ruivo	 redhead
ruivo	 mullet
runa	 rune
rusga	 noise, uproar
rusga	 quarrel, brawl
russo	 Russian
russo	 Russian (person from Russia)
rutherfórdio	 rutherfordium
ruténio	 ruthenium.
ruído rosa	 pink noise
ruído	 noise
ruído	 clatter, din
ruína	 the process of becoming ruined
ruína	 the process of becoming financially ruined
rádio	 radium
rádio	 radio (technology)
rádio	 radio (device)
rádio	 radio station.
rádio	 radius (bone)
rádon	 radon
rápidamente	 rapidly, quickly
rápido	 fast (occurring or happening within a short time)
rápido	 With speed; rapidly; quickly.
rã	 frog
rédea	 rein (strap or rope used to control an animal)
régio	 regal, royal
régua	 ruler (device)
rénio	 rhenium
réplica	 act of replicate|replicating
réptil	 reptile (a cold-blooded vertebrate)
réu	 guilty
rês	 neat (food animal)
rígido	 rigid; stiff
rígido	 rigorous; strict
ríspido	 rude; impolite
ríspido	 severe; strict; harsh
rítmico	 rhythmic
ródio	 rhodium (chemical element)
róseo	 pink, rosy
rótulo	 label in the form of a sticker
rômbico	 rhombic
rústico	 rustic
rústico	 rural
rústico	 crude
rústico	 homely
rústico	 peasant
sabedor	 knowledgeable
sabedor	 wise
sabedor	 scholar
sabedoria	 wisdom
sabedoria	 knowledge
sabedoria	 scholarship
sabichona	 bluestocking (literate woman)
sabido	 known
sabonete	 soap
saboroso	 savoury, tasty
sabre	 sabreEnglish|sabre (military weapon)
sabre	 sabreEnglish|sabre (fencing weapon)
sabão	 soap
saca	 sack
saca-rabo	 mongoose
sacar	 to pull out; to extract
sacerdote	 priest
saco	 bag
saco	 sack
sacola	 schoolbag
sacola	 haversack
sacola	 bag.
sacolejante	 bumpy
sacolejar	 To shake, agitate
sacrificar	 to sacrifice (to offer as a gift)
sacrilegamente	 sacrilegiously
sacrilégio	 sacrilege (desecration, profanation, misuse or violation of something sacred)
sacristia	 sacristy.
sacro	 sacred
sacro	 sacrum (bone)
sacudir	 To shake, jolt, jar, jog
sacudir	 To flip, toss
sadio	 healthy
safado	 shameless
safira	 sapphire
safra	 harvest
safra	 crop
sagrado	 holy, sacred
saia	 a woman's skirt
sainete	 skit, sketch, playlet
sal	 salt
sal	 wit
salame	 salami
saldo	 balance
saleta	 small room
saleta	 waiting room, foyer
salgado	 preserved or treated with salt
salgado	 chips
salgueiro	 willow (plant).
salientar	 To stress, accentuate
saliente	 protruding
salinidade	 salinity
salmoura	 brine
salmoura	 canister used for brining
salmoura	 wet salt used for curing meats and fish
saltar	 to leap; to jump
saltar	 to be evident
saltear	 To assault, assail
saltear	 To sauté
salteio	 sautéing
salto triplo	 triple jump
salto em altura	 high jump
salto em distância	 long jump
salto com vara	 pole vault
salubre	 healthy, healthful, salubrious
salutar	 salutary
salvador	 saviour, savior
salvar	 to greet with a salvo
salvação	 salvation, saving
salvação	 redemption
salão	 hall, salon, parlour, saloon
samambaia	 fern
samburá	 creel
samogiciano	 Samogitian (language)
samogiciano	 Samogitian
samário	 samarium (chemical element)
sandice	 folly, foolishness
saneamento	 sanitation
saneamento	 purification
sangrar	 to bleed
sangrento	 bloody (characterised by bloodshed)
sangue	 blood
sangueira	 bloodshed
sanguíneo	 sanguine
sanguíneo	 sanguineous (related to blood)
sanita	 toilet
sanitário	 sanitary
sanitário	 health (attributive)
sanitário	 toilet
santidade	 sanctity, holiness
santo	 Dedicated to a religious purpose or a god; holy; sacred.
santo	 Designed or exalted by a divine sanction; holy; venerable.
santo	 saintly|Saintly; relating to saints.
santo	 inviolable|Inviolable; holy.
santo	 an extremely kind individual
santuário	 a room where relics are kept
sanável	 rectifiable
sapata	 a type of crude show
sapato	 shoe
sarampo	 measles
sarampão	 violent attack of measles
sarcasmo	 sarcasm
sarcástico	 Containing sarcasm; sarcastic.
sarcófago	 sarcophagus
sardento	 freckled
sardinha	 sardine
sardo	 Sardinian
sardo	 freckled
satisfatoriamente	 satisfactorily
satisfatório	 satisfactory
satisfazer	 to satisfy
satisfazer	 to give satisfaction
satisfazer	 to be satisfied
satisfação	 satisfaction
satisfação	 gratification, enjoyment
satisfeito	 satisfied
saturado	 saturated (all senses)
saturação	 saturation
saturação	 impregnation
saturnino	 saturnine, melancholy
saturnino	 pertaining to the planet Saturn
satélite	 satellite (object orbiting a celestial object)
saudar	 to hail; to greet
saudação	 greeting
saudável	 Enjoying health; well; healthy.
saudável	 Conducive to health; healthy.
saxão	 of Saxony
saxão	 of the Saxon language
saxão	 of England
saxônico	 Saxon
sazonal	 seasonal
saída	 exit
se	 Reflexive and reciprocal: oneself, himself, herself, itself, themselves, yourself; each other, one another.
se	 Used for passive constructions with transitive verbs and undetermined agent (usually translated with one).
se	 Hence, used for expressions of the type "to get/become ...-ed".
se	 It also developed to a form of undetermined subject for intransitive verbs (usually translated with "one").
se	 if
se Deus quiser	 God willing; A common expression of hope (that a certain fact shall become true) related to religiousness.
se eu fosse você	 if I were you
seabórgio	 seaborgium (chemical element with atomic number 106)
seara	 cornfield
seara	 tilled land
seara	 harvest
secagem	 drying
secamente	 dryly
secante	 secant
seco	 devoid|Devoid of liquids; dry.
secretamente	 secretly
secretaria	 secretariat
secretaria	 registry; registration desk
secretaria	 secretary office
secretaria	 registrar office
secreto	 Being or kept hidden; secret.
secreção	 secretion
secundar	 To second
secundário	 secondary
secundário	 inferior
secundário	 subordinate
seda	 a piece of silken cloth or silken clothes
sedativo	 sedative, soothing
sedativo	 sedative, depressant
sede	 thirst
sede	 seat, headquarters
sede	 see, diocese
sedento	 Needing to drink (liquids); thirsty.
sedento	 crave|Craving (for something); thirsty.
sedimentar	 sedimentary
sedimentar	 To deposit a sediment
sedimentação	 sedimentation
sedimento	 sediment
sedoso	 silky
sedutor	 Sexually attractive; sexy.
sedutor	 That seduces; that attracts; attractive; seductive; alluring; tempting.
sedução	 seduction
segmentar	 to segment
segredo	 secret
segue	 ''third-person singular indicative present of seguir''
seguimento	 follow-up
seguir	 to follow (to go or come after in physical space)
segunda pessoa do plural	 second-person plural
segunda pessoa do singular	 second-person singular
segundo	 Based on what is said or stated by; according to.
segundo	 a second (time unit)
segundo	 second
segurador	 insurer, underwriter
seguramente	 certainly
segurança	 security (condition of not being threatened)
segurar	 to hold; to grasp
segurar	 to make safe
segurar	 to hold back; to contain; to stop
seguridade	 safety, security
seio	 breast
seio	 womb
seis	 six.
seis	 six.
seiscentos	 six hundred.
seiscentos	 six hundred.
seiscentésimo	 six hundredths
sela	 saddle
selado	 sealed
selar	 To seal; to stamp
selar	 To saddle
selecionar	 to select; to choose
seletivamente	 selectively
seletivo	 selective
selo	 seal (e.g., on a document)
selo	 stamp
selva	 woods, forest
selvagem	 brutal, vicious, merciless
selvagem	 an impolite person
selvageria	 savagery
selvageria	 ferocity, cruelty
selénio	 selenium.
selênio	 See ''selénio''.
sem igual	 unique
sem querer	 inadvertently, unintentionally
semana	 week (''7 days'')
semanalmente	 Every week; weekly.
semanário	 weekly
semeador	 seeding
semeador	 sower, seeder (person who plants seeds)
semeador	 seeding machine
semeador	 spreader
semear	 to sow, to seed
semelhante	 Having characteristics or traces in common; alike; like; similar.
semelhantemente	 similarly
semelhantemente	 alike
semelhança	 an aspect or characteristic which is similar in two people or objects
semelhança	 appearance; aspect; look
semelhar	 To resemble
semente	 seed
sementeira	 sowing (action, season, material)
semestral	 Ocurring at intervals of six months; biannual.
semestralmente	 Every six months; half-yearly; biannually; semiannually.
semestre	 a period of six months
semestre	 semester (half of school year)
semiletrado	 Partially instructed in letters; partially able to read; semiliterate.
semiletrado	 Partially educated.
seminu	 half-naked
seminário	 seminary
seminário	 seminar
semáforo	 traffic light
semáforo	 semaphore
semântico	 semantic (of or relating to semantics or the meanings of words)
senado	 senate
senescência	 senescence
senha	 password
senha	 shibboleth
senhora	 A lady
senhoria	 landlady
senhorial	 manorial
senhorial	 seigniorial
senhorio	 jurisdiction
senhorio	 landlord (owner of building)
senhorita	 miss
senilidade	 senility
sensaboria	 platitude
sensato	 sensible
sensação	 sensation
sensibilidade	 sensibility
sensibilidade	 susceptibility
sensivelmente	 sensitively
sensivelmente	 sensibly
sensual	 Sexually attractive; sexy.
sensualidade	 sensuality
sensível	 sensitive
sensível	 tender, sore
sensível	 sensible
sensível	 delicate
sentado	 seated
sentado	 sitting
sentar	 to sit, to seat.
sentenciar	 to sentence
sentido	 purpose; intention
sentido	 point of view; standpoint; outlook
sentido	 emotionally hurt
sentido	 sad
sentimento	 feeling, emotion, sentiment
sentinela	 sentinel, sentry
sentinela	 guard, warder
sentir	 to be offended by
sentir	 to be sorry, regretful
senzala	 slave camp
senão	 else, otherwise
separador	 (computer) tab
separar	 to separate
separação	 separation
separação	 segregation
separável	 separable
septingentésimo	 seven hundredths
septuagésimo	 seventieth
sequencial	 sequential
sequencialmente	 sequentially
sequestramento	 sequestration
sequestro	 kidnapping (the crime of taking a person against their will, sometimes for ransom)
sequioso	 thirsty
sequioso	 avid
sequência	 sequence
sequóia	 sequoia.
ser	 Denotes a permanent quality; to be;
ser	 Denotes location in time; to be;
ser	 Auxiliary verb for the passive voice, precedes verb in participle; to be.
ser	 To be correct, to be true; particularly as answer or reaffirmation of a previous statement.
ser	 to happen; to take place
ser humano	 human being
serenata	 serenade
seriamente	 seriously
