100 mètres	 100 metres
tenir de	 To take after, act similarly to
tenir à	 to like, to be fond of
tenir à	 to wish, to want, would like
tenir tête à	 to stand up to, to express objection
tennis de table	 table tennis
tennisman	 a tennis player
tenniswoman	 female tennis player  
tenseur	 tensor (all senses)
tensioactif	 surfactant
tensioactif	 surface-active
tensiomètre	 tensiometer
tension	 blood pressure
tentaculaire	 tentacular
tentacule	 tentacle
tentaculé	 tentacled
tentant	 tempting
tentateur	 tempter
tentation	 temptation
tentative	 attempt, try, effort
tente	 tent
tente	 first and third person singular present form of tenterFrench|tenter
tenter	 to tempt
tenter	 to try, risk
tenture	 curtain
tenture	 drape, drapery, (wall) hanging
tenue	 maintenance, upkeep
tenue	 running (of a shop)
tenue	 manners, (good) behaviour (''UK'') / behavior (''US'')
tenue	 quality, standard
tenue	 posture
tenue	 dress, appearance
tenue de route	 roadholding
tergiversation	 delay|Delays in providing a clear answer caused by hesitations or an outright unwillingness to be forthright.
tergiversent	 third-person plural|Third-person plural indicative present of '''tergiverser'''
tergiversent	 third-person plural|Third-person plural subjunctive present of '''tergiverser'''
tergiverser	 to delay answering or deciding with excuses
tergiverser	 to hesitate at length
tergiversé	 Past participle of tergiverser
terme	 term (condition)
terme	 term (length of time)
terminaison	 end
terminaison	 ending
terminateur	 terminator (all meanings)
terminologie	 terminology (terms used in any business, art, etc)
terminologique	 terminological
terminologue	 terminologist
termitière	 termite nest; anthill
ternaire	 ternary
terne	 dull, colourless, drab
ternir	 to tarnish (metal), fade (material)
ternir	 to tarnish (reputation etc.)
ternissement	 tarnishing
ternissement	 fading
terpénique	 terpenic
terraformage	 terraforming (planetary engineering)
terraformation	 terraforming (planetary engineering)
terrain de jeu	 playground
terrain	 ground, landscape, Noun|terrain
terrain vague	 vacant lot
terrasse	 terrace
terrasse	 First-person singular imperfect subjunctive of '''terrerFrench|terrer'''.
terrassement	 earthworks
terrassement	 embankment
terrasser	 to terrasse
terrasser	 to pin down (a person/animal)
terrasser	 to bring down (cause to fall to the floor)
terrasser	 to overcome; get over
terrasses	 Second-person singular imperfect subjunctive of '''terrerFrench|terrer'''.
terrassier	 navvy (road worker)
terre	 earth; soil
terre cuite	 terracotta, terra cotta
terre ferme	 terra firma
terre diatomée	 diatomaceous earth
terre à terre	 down-to-earth
terre-neuve	 Newfoundland terrier
terre-neuvien	 Newfoundlander (relating to Newfoundland)
terre-plein	 traffic island, central reservation
terreau	 loam, compost
terreauter	 to compost
terreauter	 to loam
terreur	 terror
terreux	 earthy
terriblement	 terribly; in a way that is terrible
terriblement	 much; a lot
terrien	 earthly (relating to the Earth)
terrien	 Earthling (inhabitant of the planet Earth)
terrien	 landlubber
terrier	 enumerating seignorial rights, notably in ''livre terrier'' (a register of land)
terrier	 hole
terrier	 earth (of fox); burrow (of rabbit)
terrifiant	 terrifying
terrifier	 to terrify
terril	 slag heap
territoire	 territory
territoire	 country
territorialement	 territorially
territorialité	 territoriality
terroir	 soil
terroir	 land, landscape, country
terroriser	 to terrorize, terrify
terrorisme	 terrorism
terroriste	 terrorist
tertiaire	 tertiary
tertre	 butte; mound
tesson	 shard (piece of broken glass or pottery)
test	 a testEnglish|test, a tryout, a review
testamentaire	 testamentary
tester	 to test
tester	 to write one's will
testeur	 tester (person, device (masculine only))
testiculaire	 testicular
testicule	 testicle
testostérone	 testosterone
teuf-teuf	 An old or decrepit car.
teutonique	 Teutonic
texan	 Texan, of or relating to Texas, USA
texte	 text (piece of writing)
texte	 lines (for a play, film etc.)
textualité	 textuality
textuel	 textual
textuellement	 literally
textuellement	 verbatim
texturé	 textured
thalassocratie	 thalassocracy
thalassothérapie	 thalassotherapy (medecine)
thalassémie	 thalassemia
thalassémique	 thalassemic
thalle	 thallus
thanatologie	 thanatology
thanatologique	 thanatological
thanatophobie	 thanatophobia
thanatopraxie	 embalming
thatchérisme	 Thatcherism
thaï	 Thai (language)
thaïlandais	 Thai
thermalisme	 hydrotherapy (use of hot springs)
thermidor	 Thermidor (the eleventh month of the French Republican Calendar)
thermique	 thermic, thermal
thermiquement	 thermally
thermiser	 To heat a food product at temperatures lower than those required for pasteurization
thermochimique	 thermochemical
thermodurcissable	 thermosetting
thermodynamique	 thermodynamic
thermodynamiquement	 thermodynamically
thermoformage	 thermoforming
thermoformé	 thermoformed
thermographie	 thermography
thermomètre	 thermometer
thermométrique	 thermometric
thermoplastique	 thermoplastic
thermoplastique	 thermoplastic
thermopompe	 heat pump
thermorégulateur	 thermoregulatory
thermorégulation	 thermoregulation (the maintenance of a constant internal temperature of an organism)
thermorégulé	 thermoregulated
thermosenseur	 thermosensor
thermosensible	 thermosensitive
thermosphère	 thermosphere (layer of the Earth's atmosphere)
thermostabilité	 thermostability
thermostatique	 thermostatic
thermoélectrique	 thermoelectric
thessalien	 Thessalian
thessalonicien	 Thessalonian
thibaude	 underlay (under a carpet)
thixotropie	 thixotropy
thixotropique	 thixotropic
thomisme	 Thomism
thon	 tuna
thon rouge	 bluefin tuna
thonier	 any boat used for tuna fishing
thonier	 relating to tuna or tuna fishing
thoracique	 thoracic
thrombose	 thrombosis
thuriféraire	 thurifer (acolyte who carries a thurible)
thuriféraire	 sycophant
thurne	 hovel
thym	 thyme
thyroïde	 thyroid (attributive)
thyroïde	 thyroid (gland)
thyroïdien	 thyroid (attributive)
thysanoure	 thysanuran
thème	 theme, topic
thèse	 thesis, essay, dissertation
thèse	 supposition, theory
thèse	 argument, thesis
thé	 tea
thé dansant	 A dance, an organized event or party with dancing; a tea dance
thé vert	 green tea (drink)
thébain	 Theban
thébaïde	 (solitary) retreat
théier	 Camellia sinensis, tea tree
théiste	 theist
théiste	 theistic
théière	 teapot
thématique	 thematic
thématique	 structured group of themes
thématiquement	 thematically
théocratie	 theocrasy
théocratique	 theocratic
théodicée	 theodicy
théodolite	 theodolite
théologal	 theological
théologie	 theology
théologien	 theologian
théologique	 theological
théologiquement	 theologically
théonyme	 theonym
théoricien	 theoretician, theorist
théorie	 theory
théorique	 theoretical
théoriquement	 theoretically
théorisation	 theorisation
théoriser	 to theorize
théorème	 theorem (proved mathematical statement)
théorétique	 theoretic
théosophe	 theosophist, theosopher
théosophique	 theosophic (of, or relating to theosophy)
thérapeute	 therapist
thérapeutique	 therapeutic
thérapeutique	 Field of medicine that studies and applies treatments.
thérapie	 therapy
thérapie génique	 gene therapy 
thérapiste	 therapist
thérianthropie	 therianthropy
thériaque	 theriac
thérien	 therian
théropode	 theropod
thésard	 doctoral student
thésaurisation	 hoarding (of money, possessions)
thésaurus	 thesaurus
théâtralisme	 theatricality, histrionics, melodrama
théâtralité	 theatricality
théâtre	 theatre
théâtreuse	 A woman who is passionate about the theatre
théâtreuse	 An actress, especially an amateur or one of limited ability
théâtreux	 A person who is passionate about the theatre
théâtreux	 An actor, especially an amateur or one of limited ability
tibia	 shin
tibia	 tibia, shinbone
tibouren	 A Provençal grape variety used especially for the production of rosé wine
tibétain	 Tibetan
tibétain	 Tibetan (the language)
ticket	 receipt
ticket-restaurant	 meal ticket
tictaquer	 To tick (away)
tien	 yours; The one belonging to you (singular)
tiennent	 ''third-person plural present indicative and subjunctive form of '''tenirFrench|tenir'''''
tierce	 terce
tiers	 third-party
tiers	 third
tiers	 third
tiers-monde	 Third World (developing countries)
tige	 stem (of a plant etc.)
tige	 sapling
tige	 shank
tigre	 tiger
tigrer	 to stripe (as a tiger)
tigresse	 tigress
tigrigna	 Tigrinya (language)
tigré	 striped
tigré	 tabby
tilleul	 linden, lime (tree)
tiltmètre	 tiltmeter
timbale	 (metal) cup, goblet
timbrage	 stamping (marking with a stamp)
timbre	 small bell
timbre	 stamp (mark)
timbre-poste	 postage stamp; stamp
timbrer	 to stamp (attach a postage stamp to)
timbrer	 to stamp (mark with a stamp)
timbré	 stamped
timbré	 loony, barmy, nuts
timide	 shy, timid
timidement	 timidly
timidement	 shyly
timidité	 shyness
timon	 drawbar (of cart etc.)
timonier	 helmsman
timonier	 coxswain
timoré	 timid, bashful
tin	 a wooden support, often used on watercraft
tintamarre	 ruckus; racket
tintement	 chiming, tinkling
tintin	 nothing doing
tintinnabulant	 tinkling
tintinophile	 A fan of the character Tintin
tintouin	 noise in the ears
tintouin	 fuss
tique	 tick (animal)
tiquer	 to bat an eyelid
tir	 shot
tir	 shooting (sport)
tir à l'arc	 archery (sport)
tira	 ''third-person singular past historic form of tirer''
tirage	 drawing (of cheques)
tiraillement	 pulling, tugging
tiraillement	 rumbling, growling (of the stomach)
tirailler	 to pull, to tug
tirailler	 to skirmish.
tirait	 ''third-person singular imperfect indicative form of tirerFrench|tirer''
tirant	 drawstring
tire et le but	 ''he shoots, he scores'' - to shoot and score a goal
tire-bouchon	 corkscrew (to pull corks out of bottles)
tire-lait	 breast pump
tirelire	 piggy bank
tirer	 to draw, drag, pull
tirer	 to shoot
tirer	 to draw (conclusions), to consider (consequences)
tirer la langue	 to stick one's tongue out
tiret	 dash (punctuation)
tirette	 cord (for opening/closing curtains etc)
tirette	 zipper
tiré	 ''past participle of tirerFrench|tirer''
tiré par les cheveux	 far-fetched
tisane	 a herbal tea
tison	 (fire) brand
tisonner	 To poke
tisonnier	 poker (instrument for poking)
tissage	 weaving.
tisse	 First-person singular indicative present form of '''tisser'''.
tisse	 Third-person singular indicative present form of '''tisser'''.
tisse	 First-person singular subjunctive present form of '''tisser'''.
tisse	 Third-person singular subjunctive present form of '''tisser'''.
tisse	 Second-person singular imperative present form of '''tisser'''.
tissu	 fabric
tissulaire	 tissular
titane	 titanium
titanesque	 titanic, Herculean
titiller	 to titillate
titraille	 headline (and similar components of a newspaper article)
titre	 heading, title (name of a piece of work)
titre	 title (extra name bestowed upon somebody)
titrer	 to title (to give an honorific title to someone)
titulaire	 tenured, permanent, titular
titulaire	 a permanent staff member
titulaire	 a holder (of an account, a name, a title and etc...)
titulairement	 titularly
titularisation	 (granting of) tenure
titulariser	 To grant tenure to
tiède	 tepid, lukewarm
tièdement	 coolly, tepidly, half-heartedly
tiédasse	 warmish
tiédeur	 lukewarmness, halfheartedness
tmèse	 tmesis
toaster	 to toast (grill bread to make toast)
toaster	 to toast (drink to something)
toasteur	 toaster
tocard	 tasteless, out of fashion.
tocard	 unattractive
tocard	 useless thing, worthless person or animal.
tocsin	 an alarm, a tocsinEnglish|tocsin
todo list	 to-do list
toge	 toga
tohu-bohu	 commotion
tohu-bohu	 chaos
toi	 you|You (informal second-person singular personal pronoun).
toi-même	 yourself.
toile	 fabric, cloth; canvas
toile	 painting (artwork)
toile	 (''spider's'') web
toile d'araignée	 cobweb
toile de fond	 backdrop, background, backcloth
toiler	 to cover with cloth
toilettage	 grooming (of animals)
toiletter	 to groom (an animal)
toiletteur	 groomer (especially of pets)
toilier	 clothmaker
toise	 height gauge
toison	 fleece
toison	 mop (of hair); mane
toit	 roof
toiture	 roof
toiture	 roofing
tokharien	 Tocharian (language)
tokélaouan	 Tokelauan
tollé	 (general) outcry
toluène	 toluene (liquid hydrocarbon)
tolérable	 tolerable (capable of being borne, tolerated or endured; bearable or endurable)
tolérance	 tolerance
tolérant	 tolerant
tolérer	 to tolerate
tomate	 tomato (''plant'')
tomate cerise	 cherry|Cherry tomato
tomatier	 tomato-grower
tomba	 ''third-person singular past historic form of tomber''; fell
tombal	 of or relating to tombs or gravestones
tombant	 falling
tombe	 tomb, grave
tombe	 ''first-person singular and third-person singular present indicative and subjunctive form of tomber''; fall
tombeau	 tomb
tomber	 to fall
tomber sur un os	 to find a fly in one's ointment
tomber sur	 To bump into, come across
tomber sur	 To be received by (when making a telephone call)
tomber sur le nez	 to fall flat on one's face
tomber en panne	 To break down (to fail)
tomber amoureux	 to fall in love
tomber à pic	 to fall off a steep drop
tombereau	 tipcart; tumbrel/tumbril
tombeur	 defeater, slayer
tombez	 ''second-person plural indicative present of tomberFrench|tomber''
tombée de la nuit	 sunset, nightfall
tombée	 fall (act of falling)
tombée de la brume	 smokefall (close of the day before nightfall, when fog comes)
tomette	 A (normally hexagonal) brick tile used for flooring
tomette	 brick red
tomographie	 tomography
tomographique	 tomographic
tonalité	 tonality
tondeuse à gazon	 lawnmower
tondre	 to mow (lawn)
tondre	 to clip (hair, grass)
tondre	 to shear (sheep)
tonic	 drink made up mainly of cinchona
tonicité	 muscle tone; tonus, tonicity
tonifiant	 bracing, invigorating
tonifier	 to tone up, to strengthen
tonkinois	 Tonkinese
tonlieu	 A feudal tax paid by stallholders at a fair or market
tonnant	 thunderous (voice)
tonne	 tonne, metric ton
tonne	 ton
tonne	 First- and third-person indicative and subjunctive present of tonner.
tonne	 Second-person singular imperative of tonner.
tonneau	 barrel; round vessel made from staves bound with a hoop.
tonneau	 register ton (100 cubic feet).
tonneau	 barrel roll.
tonnelier	 cooper
tonnelle	 arbour
tonnellerie	 cooperage (art of a cooper)
tonnellerie	 cooper (business)
tonner	 to thunder (to make a noise like thunder)
tonnerre	 thunder
tonsurer	 to tonsure
topaze	 topaz (color and gemstone)
topaze	 topaz
topiaire	 topiary (relating to the art of topiaries)
topiaire	 topiary
topinambou	 Tupinamba
topinambour	 Jerusalem artichoke
topique	 topical (all senses)
topographe	 topographer
topographie	 topography
topographier	 To survey topographically
topographique	 topographic
topologie	 topology
topologique	 topologic, topological
topologue	 topologist
toponyme	 toponym
toponymie	 toponymy
toponymique	 toponymic
toquade	 fad, fancy
toquade	 infatuation
toque	 tuque, Canadian type of winter hat
toquet	 a small toque
torche	 a primitive torch
torcher	 to wipe with a tea towel or a cloth
torchis	 cob (building material)
torchon	 tea towel
tordant	 side-splitting, screamingly funny, hilarious.
tordre	 to twist
tordre	 to wring
tordre	 to bend
tordre le cou	 to kill (by twisting one's neck)
tordre le nez	 to turn up one's nose, to disregard or refuse with contempt or scorn
tordu	 crooked, twisted
torique	 toric
tornade	 tornado
toron	 strand (of rope)
torontois	 Torontonian
torpeur	 torpor, drowsiness
torpillage	 torpedoing
torpille	 torpedo (underwater weapon)
torpille	 electric ray 
torpilleur	 torpedo boat
torrent	 A torrentEnglish|torrent
torrentiel	 torrential
torride	 torrid, blistering
torréfacteur	 coffee roaster (person, company)
torréfaction	 roasting (especially of coffee)
torréfier	 To roast (especially coffee)
torsade	 A twist.
torsader	 to twist
torse	 torso
torse nu	 barechested (shirtless)
tort	 fault
tort	 wrong, error
torticolis	 stiff neck, crick in the neck
tortillage	 twisting
tortillage	 squirming
tortionnaire	 torturer (one who tortures)
tortue	 turtle
tortueux	 tortuous, winding, windy, twisting, twisty
tortueux	 convoluted
torturer	 to torture
torve	 sinister, menacing
toréer	 to fight a bull, in bullfighting.
toscan	 Tuscan
total	 perfect
totalement	 totally
totalisateur	 totalizator
totaliser	 to total (add up several numbers)
totalitaire	 totalitarian
totalitaire	 total, complete
totalitarisme	 totalitarianism
totalité	 totality, entirety
touaille	 a linen roll used for drying the hands, hand towel
touareg	 Tuareg
touareg	 Tuareg (language)
toucha	 ''third-person singular past historic form of toucher''; touched
touchait	 ''third-person singular imperfect indicative form of toucher''; touched, was touching, used to touch
touchant	 touching, moving (of the emotions)
touchau	 touchstone (stone)
touche	 touch
touche	 key (on keyboard)
toucher	 The sense of touch, tactility.
touffe	 tuft, clump, bunch of feathers, grass or hair, etc., held together at the base.
touffeur	 oppression, sultriness (oppresssive, sultry atmosphere)
touffu	 tufted, clumped
touffu	 heavy, overly done
touillette	 swizzle stick
toujours	 always
toujours	 still
toulonnais	 of or from Toulon
touloupe	 sheepskin (worn as a coat)
toulousain	 From or of Toulouse.
toupet	 tuft (of hair)
toupet	 toupee
toupie	 (spinning) top
tour	 tower
tour	 turn, circumference
tour	 go, turn
tour	 walk, stroll
tour	 lathe, potter’s wheel
tour à tour	 by turns, in turn, alternately
tourangeau	 of or from Tours
tourbage	 peat cutting
tourbe	 peat (soil)
tourbeux	 peaty, containing peat
tourbillant	 turbulent
tourbillon	 whirlwind
tourbillon	 eddy, whirlpool
tourbillonnaire	 vortical
tourbillonnant	 swirling
tourbière	 a bog
tourbé	 peaty
tourelle	 turret (of building, tank)
tourelle	 conning tower (of submarine)
tourisme	 tourism
touriste	 tourist
touristique	 touristy, of or relating to tourists
tourière	 portress (female porter in a convent)
tourment	 torture
tourment	 torment; discomfort; pain
tourmente	 storm
tourmenter	 to torment, to torture
tourmenter	 to torment, to bother, to harass
tourna	 ''third-person singular past historic form of tournerFrench|tourner''
tournage	 filming (process of making a film)
tournait	 ''third-person singular imperfect indicative form of tournerFrench|tourner''
tournant	 turning
tournant	 revolving (door)
tournant	 swivel (chair)
tournant	 bend, turn, corner
tournant	 turning point
tourneboulé	 dizzy
tournebroche	 roasting spit
tournemain	 turning of a hand
tourner	 To turn (left, right etc.)
tourner	 To stir (e.g. ingredients)
tourner	 To tour, to go on tour
tourner	 To film, to shoot a film.
tourner	 To lathe.
tournesol	 sunflower
tournesol	 heliotrope
tourneur	 turner, lathe operator
tourneur	 tour organizer
tournevis	 screwdriver
tournicoter	 To flit around
tourniquer	 To wind (around)
tourniquet	 unpowered carousel (playground)
tourniquet	 revolving door or turnstile
tournis	 staggers
tournis	 dizziness
tournoi	 tournament
tournoiement	 spin, whirl
tournoiement	 whirling, swirling
tournoyant	 whirling
tournée	 tour (of politician, businessman, artist etc.), round (of postman)
tournée	 round (of drinks)
tourte	 meat pie
tourte voyageuse	 passenger pigeon (an extinct bird of the species Ectopistes migratorius)
tourteau	 crab
tourtereau	 dove
tourterelle	 turtle dove 
tous	 all
tous	 everybody
tous les jours	 daily (every day)
tous les deux	 both
toussotement	 splutter, light cough
toussoter	 To splutter (have a light cough)
tout le monde	 everyone, everybody
tout à coup	 all of a sudden, out of the blue
tout droit	 to the front
tout droit	 straight ahead
tout d'un coup	 all of a sudden; suddenly; abruptly
tout seul	 all alone, alone, by oneself
tout seul	 alone, all by oneself
tout à fait	 entirely, exactly, quite.
tout compte fait	 then again, on second thought. Literally: "all accounts made".
tout à l'heure	 earlier
tout à l'heure	 later
tout le temps	 all the time; (very) often
tout le temps	 constantly; all the time
tout le plaisir est pour moi	 my pleasure
tout court	 just; only (without any additions)
tout de même	 anyway, nevertheless
tout de go	 straight out, bluntly
tout-puissant	 almighty, all-powerful (unlimited in might)
toutefois	 however, nonetheless
toutes	 ''feminine plural of tout''
toutes voiles dehors	 using all available means
toux	 cough
toxicité	 toxicity
toxicologie	 toxicology
toxicologique	 toxicological
toxicologue	 toxicologist
toxicomane	 drug addict
toxicomanie	 drug addiction
toxine	 toxin
toxine botulique	 botulinum toxin
toxique	 toxic (having a harmful chemical nature)
toxémie	 toxemia|Toxemia; toxaemia; toxæmia.
trabéculaire	 trabecular
trac	 old form of traque
tracas	 hassle, worry
tracasser	 bother, annoy
tracasserie	 harassment
tracassier	 irksome
tracassier	 meddlesome
trace	 track
traceuse	 a female practicioner of parkour
trachytique	 trachytic
tract	 flyer, circular. pamphlet
tractage	 towing
tractation	 negotiation
tracter	 to hand out flyers.
tracteur	 tractor
tractopelle	 backhoe (loader / digger)
trader	 to trade
traditionalisme	 traditionalism
traditionaliste	 traditionalist
traditionaliste	 traditionalist
traditionnel	 traditional
traditionnellement	 traditionally
traducteur	 translator
traduction	 translation
traductionnel	 translational
traduire	 to translate
traduire	 to summon
traduise	 ''first-, third-person singular subjunctive present of traduire''
traduisible	 translatable
trafic d'influence	 traffic of influence, influence peddling
trafiquant	 trafficker
trafiquant	 bootlegger
trafiquer	 To traffic (e.g. drugs)
trafiquer	 To tamper with
tragicomique	 tragicomic (related to tragicomedy)
tragicomédie	 tragicomedy (drama that combines elements of tragedy and comedy)
tragique	 tragic
tragiquement	 tragically
tragédie	 tragedy
tragédien	 tragedian
trahir	 to betray
trahison	 treason
trahison	 betrayal
trahit	 ''third-person singular present indicative form of trahir''
trahit	 ''third-person singular past historic form of trahirFrench|trahir''
trail	 dual-sportEnglish|Dual-sport motorcycle
trail	 trailEnglish|Trail running
train	 pace
train électrique	 train set
train de vie	 lifestyle (related to financial means, to the money spent)
train ultraléger	 ultra light rail
trainage	 pulling, dragging
traine	 train (of a dress)
trait	 line
trait	 color of a mineral
traitable	 treatable
traitable	 processable
traitant	 practicing (as a doctor)
traitant	 medicated
traite	 ''feminine past participle of '''traire'''''; milked
traite négrière	 (African) slave trade
traitement	 treatment
traiter	 to treat
traiter	 to take care (of)
traiter	 to process, spray, coat
traiter de	 to deal with, handle (i.e. commerce, a subject or theme)
traité	 treatise
traité	 treaty (between states); an agreement (between a business and a government, or between two businesses)
trajectographie	 trajectography
trajectoire	 trajectory
trajectoire	 course (trajectory of a ball etc.)
trajet	 route, course, trajectory
trajet	 ride, run
tram ultraléger	 ultra light rail
trame	 screentone
trame	 weft
tramer	 to weave
tramer	 to hatch, think up, come up with
traminot	 tramway worker (especially a conductor on a tram)
trampoline	 trampoline
trampoliniste	 trampolinist
tramway	 tram (passenger vehicle)
tranchant	 sharp
tranchant	 cutting
tranchant	 trenchant
tranche	 slice
tranche	 milling on a coin
tranche	 period
trancher	 to slice, to cut into slices.
tranchoir	 a slicer
tranché	 clear-cut, marked
tranché	 bold, distinct
tranquille	 calm, quiet, tranquil, still, peaceful, serene
tranquillement	 calmly
tranquillement	 peacefully
tranquillement	 quietly
tranquillement	 serenely
tranquillement	 tranquilly
tranquillisant	 tranquillizer, sedative
tranquilliser	 to calm, to reassure
tranquillité	 tranquility, peace, calm, calmness, quietness
transactionnel	 transactional
transafricain	 transafrican
transalpin	 transalpine
transaméricain	 transamerican
transandin	 transandean
transatlantique	 transatlantic
transbahuter	 To cart
transbordement	 transshipment
transbordement	 ferrying
transborder	 To ferry
transbordeur	 transporter bridge
transcanadien	 transCanadian
transcendance	 transcendence
transcendant	 transcendent
transcendantal	 transcendental
transcendantalisme	 transcendentalism
transcender	 to transcend
transclure	 to transclude
transcoder	 to transcode
transcripteur	 transcriber
transcriptionnel	 transcriptional
transcrire	 To transcribe (all senses)
transcrit	 transcribed
transcutané	 transcutaneous
transdermique	 transdermal
transdisciplinaire	 transdisciplinary
transducteur	 transducer (device)
transe	 trance (state of being hypnotized or mesmerized)
transfert	 transfer
transfert érotique	 erotic transference
transfigurer	 to transfigure
transfo	 transformer
transformateur	 transformative
transformer	 to transform
transformiste	 transformist
transfrontalier	 multinational, transborder
transfuge	 defector, deserter
transfèrement	 transfer
transférable	 transferable (able to be transferred)
transgenre	 transgender (relating to a person who thinks that the gender assigned to them at birth is not a correct or complete description of what they feel)
transgresser	 to transgress, infringe (a rule)
transgresseur	 transgressor
transgressif	 transgressive (all senses)
transgénique	 transgenic
transgénétique	 transgenetic
transi	 chilled
transiger	 to compromise
transistorisé	 transistorized
transitaire	 forwarding agent
transiter	 to transit
transitionnel	 transitional
transitivement	 transitively
transitivité	 transitivity
transitoire	 transitory
transitoirement	 transiently
translatif	 translative
translittérer	 to transliterate
translitérer	 to transliterate
translucide	 translucent (allowing light to pass through scattering it)
transmetteur	 transmitter
transmigrer	 to transmigrate
transmissibilité	 transmissibility
transmissif	 transmissive
transmissivité	 transmissivity
transmuer	 to transmute
transmuter	 To transmute
transmuté	 transmuted
transocéanien	 transoceanic
transocéanique	 transoceanic
transpacifique	 transpacific
transparaître	 to show through (of light etc.)
transparaître	 to become apparent, to show
transparent	 clear
transparent	 unnoticed
transparent	 paper having ruled lines put underneath a white sheet of paper in order to write straight
transparent	 plastic film used to show images with an overhead
transpercer	 to pierce, to impale
transpiration	 sweat (bodily fluid)
transpirer	 to sweat
transplanter	 to transplant (uproot and replant (a plant))
transplanter	 To transplant (change an organ)
transpolaire	 transpolar
transport en commun	 public transport
transporter	 to transport
transporteur	 carrier|Carrier (goods transportation company).
transporteur de vrac	 bulk carrier, bulker
transposer	 to transpose (reverse or change the order of two)
transpyrénéen	 transpyrenean
transrhénan	 transrhenane
transsaharien	 trans-Saharan
transsexualité	 transsexuality
transsexuel	 transsexual
transsexuel	 transsexual
transsibérien	 Trans-Siberian
transvasement	 decantation
transvaser	 To decant
transversale	 crossbar
transversalement	 transversally; crosswise
transvider	 to unload
transylvain	 Transylvanian
transylvanien	 Transylvanian.
trappe	 trap door
trappeur	 trapper (especially for fur)
trapu	 stocky, squat
trapéziste	 trapeze artist, trapezist
trapézoïdal	 trapezoidal
trapézoïde	 trapezoid (quadrilateral with no sides parallel)
traque	 tracking
traquenard	 trap, pitfall
traquer	 to track, follow
traquer	 to track down, hunt down; to hound
traquet	 wheatear; stonechat
traqueur	 tracker
traumatique	 traumatic
traumatisme	 trauma
travail	 work; labor
travail	 job
travaille	 First-person singular simple present indicative form of travailler.
travaille	 Third-person singular present form of indicative travailler.
travaille	 First-person singular simple present subjunctive form of travailler.
travaille	 Third-person singular present subjunctive form of travailler.
travailler	 to work
travailler	 to study
travailleur	 worker, one who works
travailleur	 hard-working, diligent
travailleuse du sexe	 (female) sex worker
travailliste	 Labour politician.
travers	 outside (the external part of)
travers	 wide side (the side of which the width is measured)
traversa	 ''third-person singular past historic form of traverserFrench|traverser''
traverser	 to cross, to go across
traversier	 crossing
traversin	 bolster
travesti	 transvestite
travestir	 To disguise
travestir	 To travesty, to parody
travestir	 To dress up (especially in clothes of the opposite sex)
travestissement	 transvestism
trayeuse	 milking machine
trayon	 teat (of cow, goat)
traçabilité	 traceability
traçage	 tracing
traçant	 tracing, plotting
traînailler	 To dawdle
traînailler	 To mooch
traînant	 drawling (voice)
traînard	 straggler, laggard
traînard	 slowcoach
traîne	 anything that trailVerb|trails
traîneau	 sled, sledge, sleigh
traînée	 trail
traître	 betrayer, traitor
traître	 treacherous
traîtreusement	 treacherously
traîtrise	 treachery
treillage	 trellis
treillager	 to trellis, equip with a trellis
treille	 trellis
treille	 arbour (with vines)
treillis	 trellis
treillis	 canvas
treize	 thirteen
treizième	 thirteenth
treizième	 thirteenth
treizièmement	 thirteenthly
trekkeur	 trekker; hiker
tremblant	 shaky, shaking, trembling
tremble	 aspen
tremblement	 shake, tremble
tremblement de terre	 earthquake
trembler	 to shake
trembler	 to tremble
tremblotant	 tremulous, shaking
trempabilité	 hardenability, temperability
trempage	 soaking
trempette	 paddle, dip (brief excursion into the sea)
trempette	 dip (sauce eaten with pieces of bread etc)
trempé	 soaked, drenched
trench	 trench coat
trench-coat	 trench coat
trentaine	 about thirty
trente	 thirty
trente	 thirty
trente et un	 thirty-one
trentenaire	 thirty-year-old
trentenaire	 thirty-year-old
trentième	 thirtieth
trentième	 thirtieth
trenèl	 A food, similar to haggis, from Aveyron
tressaillement	 shiver, shudder, wince
tressaillement	 quiver, thrill
tressaillir	 to thrill, shiver, quiver
tressaillir	 to vibrate
tressaillir	 to twitch, start, shudder, jump
tressauter	 to jump, act jumpy
tresse	 tress, braid, plait
tresser	 To plait, to braid
treuil	 winch, hoist
treuillage	 winching
treuiller	 To winch
tri	 selection
tria	 ''third-person singular past historic form of trier''
triade	 triad (all senses)
triangle amoureux	 love triangle
triangle équilatéral	 equilateral triangle
triangle rectangle	 right triangle (a triangle having a right angle as one of its interior angles)
triangulaire	 triangular
triangulaire	 three-way race, struggle etc.
trianguler	 to triangulate
tribadisme	 tribadism
tribalisme	 tribalism
tribologie	 tribology
tribologique	 tribological
tribu	 tribe
tribun	 tribune
tribune	 platform, rostrum
tributaire	 tributary
tributaire	 tributary
tricastin	 Of or from the region of Tricastin or the town of Saint-Paul-Trois-Châteaux
tricentenaire	 tercentenary, tricentennial
tricha	 ''third-person singular past historic form of tricher''; cheated
trichait	 ''third-person singular imperfect indicative form of tricher''; cheated, was cheating, used to cheat
tricher	 to cheat
tricherie	 cheating, trickery
tricheur	 cheat, cheater
trichobézoard	 trichobezoar
trichomanie	 trichotillomania
trichromie	 three-colour printing
tricot	 knitting
tricot	 sweater, jumper
tricot	 sea krait (snake)
tricot de corps	 vest (''UK''), undershirt (''US'')
tricotage	 knitting (occupation)
tricoter	 to knit
